Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,VehiclePrice,PoliceReportFiled,WitnessPresent,NumberOfSuppliments,AddressChange_Claim,Deductible,DriverRating,Age,AgeOfVehicle,Fault,AccidentArea,BasePolicy,VehicleCategory,FraudFound_P
more than 30,more than 30,1,30000 to 39000,No,No,none,1 year,400,2,57,more than 7,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,1 to 2,no change,400,3,54,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,more than 69000,No,No,none,no change,400,2,0,new,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,1,more than 69000,No,No,more than 5,no change,400,3,44,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,3 to 5,4 to 8 years,400,2,28,4 years,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,more than 4,30000 to 39000,No,No,3 to 5,no change,400,4,61,more than 7,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,1,20000 to 29000,No,No,more than 5,no change,400,3,43,7 years,Policy Holder,Rural,Liability,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,3,34,6 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,3,34,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,more than 69000,No,No,more than 5,no change,400,4,55,more than 7,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,1,20000 to 29000,No,No,more than 5,no change,400,4,47,more than 7,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,less than 20000,No,No,more than 5,no change,400,1,41,7 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,more than 4,40000 to 59000,No,No,3 to 5,no change,400,2,44,more than 7,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,more than 5,1 year,400,2,60,more than 7,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,1,26,6 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,more than 4,30000 to 39000,No,No,more than 5,4 to 8 years,400,4,53,more than 7,Third Party,Urban,Liability,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,1,43,more than 7,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,none,less than 20000,No,No,none,no change,400,3,34,7 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,4,42,more than 7,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,more than 4,20000 to 29000,No,No,1 to 2,no change,400,3,39,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,more than 69000,No,No,3 to 5,no change,400,1,31,7 years,Policy Holder,Rural,All Perils,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,more than 5,no change,400,3,30,7 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,none,20000 to 29000,No,No,more than 5,no change,400,4,61,more than 7,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,1,more than 69000,No,No,more than 5,no change,400,3,53,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,more than 4,more than 69000,No,No,1 to 2,no change,400,4,29,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,more than 4,20000 to 29000,No,No,none,no change,400,2,34,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,more than 69000,No,No,none,no change,700,4,55,more than 7,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,1,more than 69000,No,No,more than 5,no change,400,4,55,more than 7,Policy Holder,Rural,All Perils,Utility,1
more than 30,more than 30,none,30000 to 39000,No,No,none,no change,400,1,49,more than 7,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,none,no change,400,1,41,5 years,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,2 to 4,30000 to 39000,No,No,1 to 2,no change,400,1,38,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,3,29,6 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,1,30000 to 39000,No,No,none,no change,400,4,47,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,2,33,7 years,Policy Holder,Rural,Liability,Sport,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,3 to 5,no change,400,2,47,more than 7,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,more than 69000,No,No,none,no change,400,1,65,7 years,Policy Holder,Urban,All Perils,Utility,1
more than 30,more than 30,2 to 4,20000 to 29000,No,No,1 to 2,no change,400,3,29,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,more than 5,no change,400,3,42,7 years,Policy Holder,Rural,Liability,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,more than 5,no change,400,1,44,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,less than 20000,No,No,3 to 5,no change,400,2,43,7 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,more than 4,20000 to 29000,No,No,none,no change,700,2,40,more than 7,Policy Holder,Urban,Liability,Sport,0
8 to 15,8 to 15,2 to 4,more than 69000,No,No,none,no change,400,2,37,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,3 to 5,no change,400,4,24,5 years,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,none,more than 69000,No,No,none,no change,400,1,45,more than 7,Third Party,Urban,Collision,Sport,0
more than 30,more than 30,1,40000 to 59000,No,No,more than 5,no change,400,3,46,more than 7,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,none,no change,400,4,64,more than 7,Third Party,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,none,no change,400,4,37,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,more than 5,no change,400,3,42,7 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,2,30,5 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,more than 69000,No,No,none,no change,400,1,36,7 years,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,2 to 4,30000 to 39000,No,No,3 to 5,no change,400,4,39,more than 7,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,1 to 2,no change,400,1,46,7 years,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,1,more than 69000,No,No,3 to 5,no change,400,2,52,7 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,700,1,61,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,more than 4,40000 to 59000,No,No,more than 5,no change,400,1,32,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,4,30,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,30000 to 39000,No,No,none,no change,400,4,54,7 years,Policy Holder,Urban,Liability,Sport,0
15 to 30,more than 30,1,more than 69000,No,No,none,no change,400,2,26,7 years,Third Party,Urban,Collision,Sport,0
more than 30,more than 30,2 to 4,40000 to 59000,No,No,more than 5,no change,400,2,46,more than 7,Policy Holder,Urban,Liability,Sport,1
more than 30,more than 30,more than 4,more than 69000,No,No,none,no change,400,3,35,7 years,Third Party,Urban,Liability,Sport,0
more than 30,more than 30,1,more than 69000,No,No,none,no change,400,3,44,7 years,Policy Holder,Urban,Collision,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,more than 5,no change,400,2,58,more than 7,Policy Holder,Rural,All Perils,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,2,39,more than 7,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,2 to 4,30000 to 39000,No,No,none,no change,400,1,27,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,more than 4,30000 to 39000,No,No,more than 5,no change,400,2,79,more than 7,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,more than 4,30000 to 39000,No,No,none,no change,400,3,52,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,20000 to 29000,No,No,1 to 2,no change,400,2,33,6 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,more than 4,more than 69000,No,No,more than 5,no change,400,3,46,7 years,Policy Holder,Urban,Collision,Utility,1
more than 30,more than 30,1,20000 to 29000,No,No,1 to 2,no change,400,2,58,7 years,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,none,20000 to 29000,No,No,more than 5,no change,400,4,34,2 years,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,more than 5,no change,700,3,43,7 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,1,30,5 years,Third Party,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,1 to 2,no change,400,1,34,6 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,3 to 5,no change,400,3,29,6 years,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,1,35,5 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,more than 4,20000 to 29000,No,No,3 to 5,no change,400,1,34,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,more than 69000,No,No,none,no change,700,4,47,more than 7,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,none,more than 69000,No,No,none,no change,400,3,28,new,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,none,less than 20000,No,No,none,no change,700,4,63,more than 7,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,less than 20000,No,No,more than 5,no change,400,4,29,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,more than 69000,No,No,none,no change,400,2,0,new,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,20000 to 29000,No,No,1 to 2,no change,400,4,53,more than 7,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,2 to 4,20000 to 29000,No,No,more than 5,no change,400,3,37,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,3,39,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,3 to 5,no change,400,1,77,more than 7,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,1,40,more than 7,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,none,no change,400,1,27,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,20000 to 29000,No,No,more than 5,no change,400,2,65,more than 7,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,1,57,7 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,more than 4,20000 to 29000,No,No,none,no change,400,2,64,more than 7,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,more than 69000,No,No,none,no change,400,3,0,new,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,none,more than 69000,No,No,3 to 5,4 to 8 years,400,3,39,more than 7,Policy Holder,Rural,All Perils,Sedan,0
more than 30,more than 30,2 to 4,less than 20000,No,No,1 to 2,no change,400,4,29,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,60000 to 69000,No,No,none,no change,400,1,70,7 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,none,30000 to 39000,No,No,more than 5,no change,400,1,38,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,2,45,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,2 to 3 years,500,4,31,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,more than 69000,No,No,none,no change,400,2,39,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,more than 69000,No,No,more than 5,no change,400,2,36,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,2,35,6 years,Third Party,Urban,Collision,Sedan,0
1 to 7,8 to 15,none,20000 to 29000,No,No,none,no change,400,3,35,7 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,2 to 4,30000 to 39000,No,No,none,no change,400,3,35,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,less than 20000,No,No,none,no change,400,3,33,5 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,more than 4,20000 to 29000,No,No,none,no change,400,4,35,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,30000 to 39000,No,No,none,no change,400,1,59,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,30000 to 39000,No,No,3 to 5,no change,400,1,29,6 years,Third Party,Urban,Liability,Sport,0
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,3,40,7 years,Third Party,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,1,60,more than 7,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,4,33,7 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,2 to 4,20000 to 29000,No,No,1 to 2,no change,400,2,22,5 years,Policy Holder,Rural,Liability,Sport,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,none,no change,400,2,22,5 years,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,more than 69000,No,No,more than 5,no change,700,1,38,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,less than 20000,No,No,none,no change,400,4,74,more than 7,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,1,less than 20000,No,No,none,no change,400,1,45,7 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,4,28,5 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,1,26,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,2,35,6 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,2 to 4,20000 to 29000,No,No,1 to 2,no change,400,4,26,6 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,none,more than 69000,No,No,more than 5,no change,400,1,32,6 years,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,2 to 4,20000 to 29000,No,No,1 to 2,no change,400,3,27,6 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,more than 5,no change,400,4,53,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,2,27,7 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,1,30000 to 39000,No,No,none,no change,400,1,36,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,more than 4,less than 20000,No,No,more than 5,no change,400,1,48,more than 7,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,none,less than 20000,No,No,none,no change,400,2,25,5 years,Policy Holder,Rural,All Perils,Sedan,0
more than 30,more than 30,none,40000 to 59000,No,No,more than 5,no change,400,4,50,more than 7,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,more than 4,20000 to 29000,No,No,1 to 2,4 to 8 years,400,2,26,6 years,Policy Holder,Rural,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,more than 5,no change,400,2,33,5 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,20000 to 29000,No,No,1 to 2,no change,400,4,38,7 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,3,56,more than 7,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,none,60000 to 69000,No,No,none,no change,400,4,67,more than 7,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,3,22,5 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,more than 4,30000 to 39000,No,No,more than 5,no change,400,3,35,7 years,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,2 to 4,more than 69000,No,No,more than 5,no change,400,3,52,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,2 to 3 years,500,2,49,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,more than 4,20000 to 29000,No,No,1 to 2,no change,400,2,26,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,30000 to 39000,No,No,none,no change,400,3,43,7 years,Policy Holder,Rural,Collision,Sedan,0
more than 30,more than 30,2 to 4,less than 20000,No,No,more than 5,no change,400,4,42,6 years,Policy Holder,Rural,All Perils,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,3,32,5 years,Policy Holder,Urban,Liability,Sport,1
more than 30,more than 30,more than 4,20000 to 29000,No,No,none,no change,400,3,33,6 years,Policy Holder,Rural,Collision,Sedan,0
more than 30,more than 30,1,less than 20000,Yes,No,more than 5,no change,400,3,65,7 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,none,1 year,400,2,31,7 years,Policy Holder,Urban,Collision,Sedan,0
